,Restaurant name,Restaurant URL
46,Kos Restaurant,https://www.google.ca/maps/place/Kos+Restaurant/data=!4m5!3m4!1s0x882b34e9e89b0097:0xdc594d422aded52d!8m2!3d43.6548834!4d-79.4033897?authuser=0&hl=en&rclk=1
47,Hungary-Thai,https://www.google.ca/maps/place/Hungary-Thai/data=!4m5!3m4!1s0x882b34c26de96c0d:0x8777e0c1026815f4!8m2!3d43.654321!4d-79.402084?authuser=0&hl=en&rclk=1
48,Gushi (Dundas W x Bathurst),https://www.google.ca/maps/place/Gushi+(Dundas+W+x+Bathurst)/data=!4m5!3m4!1s0x882b34e870785451:0x2df941a8ab2b8b61!8m2!3d43.6520948!4d-79.405026?authuser=0&hl=en&rclk=1
49,Ka Chi Korean Restaurant,https://www.google.ca/maps/place/Ka+Chi+Korean+Restaurant/data=!4m5!3m4!1s0x882b34c448b94155:0xa3cbf2656885be66!8m2!3d43.6537779!4d-79.3950222?authuser=0&hl=en&rclk=1
50,The Burger's Priest,https://www.google.ca/maps/place/The+Burger's+Priest/data=!4m5!3m4!1s0x882b34dc8219f251:0x25b2a1c00a980748!8m2!3d43.6483841!4d-79.3973038?authuser=0&hl=en&rclk=1
51,Sizzler Kabab,https://www.google.ca/maps/place/Sizzler+Kabab/data=!4m5!3m4!1s0x882b34c16fadf1ed:0x5861a14f8c4611ab!8m2!3d43.656276!4d-79.399107?authuser=0&hl=en&rclk=1
52,NomNomNom Poutine,https://www.google.ca/maps/place/NomNomNom+Poutine/data=!4m5!3m4!1s0x882b34e86ee713ff:0xec9a5488b8be60a9!8m2!3d43.6519983!4d-79.4048188?authuser=0&hl=en&rclk=1
53,Greens Vegetarian Restaurant,https://www.google.ca/maps/place/Greens+Vegetarian+Restaurant/data=!4m5!3m4!1s0x882b34c2a249e7e9:0xa497058d742e57e1!8m2!3d43.6521333!4d-79.40255?authuser=0&hl=en&rclk=1
54,Green Tea Restaurant（Downtown) 多倫多綠茶餐廳,https://www.google.ca/maps/place/Green+Tea+Restaurant%EF%BC%88Downtown)+%E5%A4%9A%E5%80%AB%E5%A4%9A%E7%B6%A0%E8%8C%B6%E9%A4%90%E5%BB%B3/data=!4m5!3m4!1s0x882b355c482ab863:0xbc82addb2f2c1d64!8m2!3d43.6523561!4d-79.3973736?authuser=0&hl=en&rclk=1
55,My Roti Place,https://www.google.ca/maps/place/My+Roti+Place/data=!4m5!3m4!1s0x882b35925d483525:0xc8ade67542d5139c!8m2!3d43.6486948!4d-79.397339?authuser=0&hl=en&rclk=1
56,Tasty's Caribbean Cuisine,https://www.google.ca/maps/place/Tasty's+Caribbean+Cuisine/data=!4m5!3m4!1s0x882b34ca97aecf73:0xebef87cb82279d40!8m2!3d43.6567884!4d-79.3992607?authuser=0&hl=en&rclk=1
57,Barn Restaurant,https://www.google.ca/maps/place/Barn+Restaurant/data=!4m5!3m4!1s0x882b34e739b0f151:0xf3ebfe021c0b1d50!8m2!3d43.6471971!4d-79.4045348?authuser=0&hl=en&rclk=1
58,To-Ne Sushi,https://www.google.ca/maps/place/To-Ne+Sushi/data=!4m5!3m4!1s0x882b34dc85d3c469:0x77742f2455147770!8m2!3d43.6486368!4d-79.3977856?authuser=0&hl=en&rclk=1
59,Chipotle Mexican Grill,https://www.google.ca/maps/place/Chipotle+Mexican+Grill/data=!4m5!3m4!1s0x882b34daa8301e0b:0x5a4a3bc256fe872d!8m2!3d43.6494872!4d-79.3916476?authuser=0&hl=en&rclk=1
